iter	Passed	Remaining
0	157	157030
1	158	78850
2	158	52705
3	159	39634
4	159	31784
5	160	26554
6	160	22816
7	161	20013
8	161	17832
9	162	16088
10	163	14661
11	163	13471
12	164	12464
13	164	11598
14	165	10846
15	165	10186
16	166	9604
17	166	9086
18	167	8623
19	167	8207
20	167	7829
21	168	7486
22	168	7173
23	169	6886
24	169	6622
25	170	6378
26	170	6149
27	171	5939
28	171	5750
29	172	5565
30	172	5395
31	173	5236
32	173	5087
33	174	4946
34	174	4813
35	175	4688
36	175	4569
37	176	4456
38	176	4349
39	177	4248
40	177	4152
41	178	4060
42	178	3973
43	179	3890
44	179	3810
45	180	3733
46	180	3660
47	181	3590
48	181	3523
49	182	3458
50	182	3396
51	183	3336
52	183	3278
53	184	3223
54	184	3170
55	185	3119
56	185	3070
57	186	3022
58	186	2975
59	187	2930
60	187	2887
61	188	2845
62	188	2804
63	189	2764
64	189	2726
65	190	2689
66	190	2653
67	191	2618
68	191	2584
69	192	2551
70	192	2519
71	192	2485
72	193	2455
73	193	2426
74	194	2397
75	194	2369
76	195	2341
77	195	2315
78	196	2289
79	196	2263
80	197	2238
81	197	2214
82	198	2190
83	198	2168
84	199	2146
85	199	2124
86	200	2102
87	200	2081
88	201	2061
89	201	2040
90	202	2021
91	202	2002
92	203	1983
93	203	1964
94	204	1946
95	204	1928
96	205	1911
97	205	1894
98	206	1877
99	206	1861
100	207	1845
101	207	1829
102	208	1813
103	208	1798
104	209	1783
105	209	1768
106	210	1754
107	210	1740
108	211	1726
109	211	1712
110	212	1699
111	212	1685
112	213	1673
113	213	1660
114	214	1647
115	214	1635
116	215	1623
117	215	1611
118	216	1599
119	216	1588
120	217	1576
121	217	1565
122	218	1554
123	218	1543
124	219	1533
125	219	1521
126	219	1510
127	220	1500
128	220	1489
129	221	1479
130	221	1470
131	221	1459
132	222	1450
133	222	1441
134	223	1432
135	224	1423
136	224	1414
137	225	1405
138	225	1397
139	226	1389
140	226	1381
141	227	1373
142	227	1365
143	228	1357
144	228	1349
145	229	1341
146	229	1334
147	230	1325
148	230	1317
149	231	1310
150	231	1303
151	232	1296
152	232	1289
153	233	1282
154	233	1275
155	234	1268
156	235	1262
157	235	1255
158	236	1249
159	236	1242
160	237	1236
161	237	1230
162	238	1223
163	238	1216
164	239	1210
165	239	1204
166	240	1199
167	241	1193
168	241	1188
169	242	1182
170	242	1176
171	243	1171
172	243	1165
173	244	1160
174	244	1154
175	245	1149
176	246	1144
177	246	1138
178	247	1133
179	247	1128
180	248	1123
181	248	1118
182	249	1113
183	249	1108
184	250	1103
185	251	1098
186	251	1094
187	252	1089
188	252	1084
189	253	1079
190	253	1075
191	254	1069
192	254	1065
193	255	1060
194	255	1056
195	256	1051
196	256	1047
197	257	1042
198	257	1037
199	258	1033
200	258	1029
201	259	1025
202	260	1021
203	260	1016
204	261	1012
205	261	1008
206	262	1004
207	262	1000
208	263	996
209	263	992
210	264	988
211	264	984
212	265	980
213	266	977
214	266	973
215	267	969
216	267	966
217	268	962
218	268	959
219	269	955
220	270	951
221	270	948
222	271	944
223	271	941
224	272	937
225	272	934
226	273	931
227	273	927
228	274	924
229	275	921
230	275	917
231	276	914
232	276	911
233	277	907
234	277	904
235	278	901
236	279	898
237	279	895
238	280	891
239	280	888
240	281	885
241	281	882
242	282	880
243	283	877
244	283	874
245	284	871
246	284	868
247	285	865
248	285	862
249	286	859
250	287	856
251	287	853
252	288	850
253	288	848
254	289	845
255	289	842
256	290	839
257	290	836
258	291	834
259	292	831
260	292	828
261	293	825
262	293	823
263	294	820
264	294	818
265	295	815
266	296	812
267	296	810
268	297	807
269	297	805
270	298	802
271	298	800
272	299	797
273	300	795
274	300	792
275	301	790
276	301	787
277	302	785
278	302	782
279	303	780
280	304	777
281	304	775
282	305	773
283	305	770
284	306	768
285	306	766
286	307	763
287	308	761
288	308	759
289	309	757
290	309	755
291	310	752
292	311	750
293	311	748
294	312	746
295	313	744
296	313	742
297	314	740
298	315	738
299	315	736
300	316	734
301	317	732
302	317	730
303	318	728
304	319	726
305	319	725
306	320	723
307	320	721
308	321	719
309	322	717
310	323	715
311	323	714
312	324	712
313	325	710
314	325	708
315	326	706
316	326	704
317	327	702
318	328	700
319	328	698
320	329	696
321	329	694
322	330	692
323	330	690
324	331	688
325	332	686
326	332	684
327	333	682
328	333	681
329	334	679
330	335	677
331	335	675
332	336	673
333	337	672
334	337	670
335	338	668
336	338	666
337	339	665
338	340	663
339	340	661
340	341	659
341	341	657
342	342	656
343	343	654
344	343	652
345	344	651
346	345	649
347	345	647
348	346	646
349	347	644
350	347	642
351	348	641
352	348	639
353	349	637
354	350	636
355	350	634
356	351	632
357	351	631
358	352	629
359	353	627
360	353	626
361	354	624
362	354	622
363	355	621
364	356	619
365	356	617
366	357	616
367	357	614
368	358	612
369	359	611
370	359	609
371	360	608
372	360	606
373	361	604
374	361	603
375	362	601
376	363	600
377	363	598
378	364	597
379	364	595
380	365	593
381	366	592
382	366	590
383	367	589
384	367	587
385	368	586
386	369	584
387	369	583
388	370	581
389	370	580
390	371	578
391	371	576
392	372	575
393	373	573
394	373	572
395	374	570
396	374	569
397	375	567
398	376	566
399	376	565
400	377	563
401	377	562
402	378	560
403	379	559
404	379	557
405	380	556
406	380	554
407	381	553
408	381	551
409	382	550
410	383	549
411	383	547
412	384	546
413	384	544
414	385	543
415	386	542
416	386	540
417	387	539
418	387	537
419	388	536
420	389	535
421	389	533
422	390	532
423	390	530
424	391	529
425	392	528
426	392	527
427	393	525
428	394	524
429	394	523
430	395	521
431	395	520
432	396	519
433	397	518
434	397	516
435	398	515
436	399	514
437	399	512
438	400	511
439	400	510
440	401	508
441	401	507
442	402	506
443	403	504
444	403	503
445	404	502
446	404	500
447	405	499
448	406	498
449	406	497
450	407	495
451	407	494
452	408	493
453	409	492
454	409	490
455	410	489
456	410	488
457	411	487
458	412	485
459	412	484
460	413	483
461	413	482
462	414	480
463	415	479
464	415	478
465	416	477
466	416	475
467	417	474
468	418	473
469	418	472
470	419	471
471	420	469
472	420	468
473	421	467
474	421	466
475	422	464
476	422	463
477	423	462
478	424	461
479	424	460
480	425	458
481	425	457
482	426	456
483	426	455
484	427	454
485	428	452
486	428	451
487	429	450
488	429	449
489	430	448
490	431	446
491	431	445
492	432	444
493	432	443
494	433	442
495	434	441
496	434	440
497	435	438
498	436	437
499	436	436
500	437	435
501	437	434
502	438	433
503	439	432
504	439	430
505	440	429
506	440	428
507	441	427
508	441	426
509	442	425
510	443	424
511	443	422
512	444	421
513	445	420
514	445	419
515	446	418
516	446	417
517	447	416
518	448	415
519	448	414
520	449	413
521	450	412
522	450	411
523	451	410
524	452	409
525	452	408
526	453	407
527	454	406
528	454	405
529	455	404
530	456	402
531	456	401
532	457	400
533	458	399
534	458	398
535	459	397
536	460	396
537	460	395
538	461	394
539	462	393
540	462	392
541	463	391
542	464	390
543	464	389
544	465	388
545	466	387
546	466	386
547	467	385
548	467	384
549	468	383
550	468	382
551	469	380
552	469	379
553	470	378
554	470	377
555	471	376
556	472	375
557	472	374
